borough,access_carcommute_0812_count,access_carcommute_0812_count_moe,access_carcommute_0812_count_cv,access_carcommute_0812_pct,access_carcommute_0812_pct_moe,access_workers16pl_0812_count,access_workers16pl_0812_count_moe,access_workers16pl_0812_count_cv,access_workers16pl_0812_pct,access_workers16pl_0812_pct_moe,access_carcommute_0812_anh_count,access_carcommute_0812_anh_count_moe,access_carcommute_0812_anh_count_cv,access_carcommute_0812_anh_pct,access_carcommute_0812_anh_pct_moe,access_carcommute_0812_bnh_count,access_carcommute_0812_bnh_count_moe,access_carcommute_0812_bnh_count_cv,access_carcommute_0812_bnh_pct,access_carcommute_0812_bnh_pct_moe,access_carcommute_0812_hsp_count,access_carcommute_0812_hsp_count_moe,access_carcommute_0812_hsp_count_cv,access_carcommute_0812_hsp_pct,access_carcommute_0812_hsp_pct_moe,access_carcommute_0812_wnh_count,access_carcommute_0812_wnh_count_moe,access_carcommute_0812_wnh_count_cv,access_carcommute_0812_wnh_pct,access_carcommute_0812_wnh_pct_moe,access_workers16pl_0812_anh_count,access_workers16pl_0812_anh_count_moe,access_workers16pl_0812_anh_count_cv,access_workers16pl_0812_anh_pct,access_workers16pl_0812_anh_pct_moe,access_workers16pl_0812_bnh_count,access_workers16pl_0812_bnh_count_moe,access_workers16pl_0812_bnh_count_cv,access_workers16pl_0812_bnh_pct,access_workers16pl_0812_bnh_pct_moe,access_workers16pl_0812_hsp_count,access_workers16pl_0812_hsp_count_moe,access_workers16pl_0812_hsp_count_cv,access_workers16pl_0812_hsp_pct,access_workers16pl_0812_hsp_pct_moe,access_workers16pl_0812_wnh_count,access_workers16pl_0812_wnh_count_moe,access_workers16pl_0812_wnh_count_cv,access_workers16pl_0812_wnh_pct,access_workers16pl_0812_wnh_pct_moe,access_carcommute_1519_count,access_carcommute_1519_count_moe,access_carcommute_1519_count_cv,access_carcommute_1519_pct,access_carcommute_1519_pct_moe,access_workers16pl_1519_count,access_workers16pl_1519_count_moe,access_workers16pl_1519_count_cv,access_workers16pl_1519_pct,access_workers16pl_1519_pct_moe,access_carcommute_1519_anh_count,access_carcommute_1519_anh_count_moe,access_carcommute_1519_anh_count_cv,access_carcommute_1519_anh_pct,access_carcommute_1519_anh_pct_moe,access_carcommute_1519_bnh_count,access_carcommute_1519_bnh_count_moe,access_carcommute_1519_bnh_count_cv,access_carcommute_1519_bnh_pct,access_carcommute_1519_bnh_pct_moe,access_carcommute_1519_hsp_count,access_carcommute_1519_hsp_count_moe,access_carcommute_1519_hsp_count_cv,access_carcommute_1519_hsp_pct,access_carcommute_1519_hsp_pct_moe,access_carcommute_1519_wnh_count,access_carcommute_1519_wnh_count_moe,access_carcommute_1519_wnh_count_cv,access_carcommute_1519_wnh_pct,access_carcommute_1519_wnh_pct_moe,access_workers16pl_1519_anh_count,access_workers16pl_1519_anh_count_moe,access_workers16pl_1519_anh_count_cv,access_workers16pl_1519_anh_pct,access_workers16pl_1519_anh_pct_moe,access_workers16pl_1519_bnh_count,access_workers16pl_1519_bnh_count_moe,access_workers16pl_1519_bnh_count_cv,access_workers16pl_1519_bnh_pct,access_workers16pl_1519_bnh_pct_moe,access_workers16pl_1519_hsp_count,access_workers16pl_1519_hsp_count_moe,access_workers16pl_1519_hsp_count_cv,access_workers16pl_1519_hsp_pct,access_workers16pl_1519_hsp_pct_moe,access_workers16pl_1519_wnh_count,access_workers16pl_1519_wnh_count_moe,access_workers16pl_1519_wnh_count_cv,access_workers16pl_1519_wnh_pct,access_workers16pl_1519_wnh_pct_moe
BX,152776,3812,1.5,28.9,0.7,528164,5012,0.6,100,,6510,683,6.4,31.9,3.0,46384,2431,3.2,28.2,1.4,68124,2681,2.4,25.0,0.9,28816,1691,3.6,47.0,2.5,20407,1008,3.0,100,,164233,2727,1.0,100,,272611,3341,0.7,100,,61336,1610,1.6,100,,158890,3795,1.5,27.4,0.6,578939,5536,0.6,100,,7189,691,5.8,31.0,2.6,45229,2164,2.9,26.5,1.2,80612,2815,2.1,25.1,0.8,22827,1244,3.3,42.1,2.1,23186,1046,2.7,100,,170671,3084,1.1,100,,320574,3816,0.7,100,,54160,1190,1.3,100,
BK,262805,4492,1.0,24.3,0.4,1080489,6621,0.4,100,,27999,1496,3.2,23.6,1.2,89341,2829,1.9,26.3,0.8,38745,1958,3.1,19.5,0.9,103133,2539,1.5,25.4,0.6,118418,2273,1.2,100,,339514,3757,0.7,100,,198674,2680,0.8,100,,406173,3630,0.5,100,,267942,3933,0.9,22.4,0.3,1197588,5839,0.3,100,,34529,1698,3.0,23.6,1.1,84705,2780,2.0,24.7,0.8,40011,1662,2.5,18.9,0.7,103203,2141,1.3,22.2,0.4,146188,1941,0.8,100,,343306,3963,0.7,100,,211569,2638,0.8,100,,464575,2840,0.4,100,
MN,73290,2922,2.4,8.8,0.3,833003,5616,0.4,100,,6731,805,7.3,7.0,0.8,9026,991,6.7,11.1,1.2,18347,1497,5.0,11.3,0.9,37930,1993,3.2,8.0,0.4,95912,2126,1.3,100,,81276,2107,1.6,100,,163057,3033,1.1,100,,476390,4191,0.5,100,,69292,2843,2.5,7.8,0.3,890155,6142,0.4,100,,6656,754,6.9,6.0,0.7,7861,1030,8.0,9.4,1.2,18776,1793,5.8,10.0,0.9,34651,2201,3.9,7.1,0.4,110225,2466,1.4,100,,83982,2727,2.0,100,,186857,3067,1.0,100,,488201,4068,0.5,100,
QN,402612,4553,0.7,38.5,0.4,1045986,5524,0.3,100,,91179,2759,1.8,36.8,1.0,83561,2301,1.7,46.8,1.1,81481,3130,2.3,27.9,1.0,131329,2752,1.3,45.5,0.8,247616,3162,0.8,100,,178727,2255,0.8,100,,291731,2415,0.5,100,,288368,2993,0.6,100,,425595,5720,0.8,38.7,0.5,1100981,5782,0.3,100,,106457,2769,1.6,37.6,0.9,87104,2461,1.7,46.7,1.1,96892,2864,1.8,31.3,0.9,116550,2343,1.2,42.2,0.7,282981,3263,0.7,100,,186416,2652,0.9,100,,309855,3116,0.6,100,,276227,2749,0.6,100,
SI,130422,2554,1.2,64.0,1.0,203732,2486,0.7,100,,9417,772,5.0,59.4,4.2,8367,777,5.6,46.6,3.7,16622,1132,4.1,51.3,2.9,94560,2136,1.4,70.2,1.2,15845,667,2.6,100,,17950,857,2.9,100,,32371,1207,2.3,100,,134778,2049,0.9,100,,135904,2852,1.3,63.9,1.1,212758,2598,0.7,100,,12970,765,3.6,62.0,3.0,10120,938,5.6,55.8,4.3,19825,1344,4.1,54.2,3.2,90558,2033,1.4,67.8,1.2,20925,686,2.0,100,,18150,932,3.1,100,,36569,1250,2.1,100,,133527,1754,0.8,100,
